order_id,customer_id,amount,created_at,is_b2b
ord_0001,cust_3286,154902,2026-08-01T13:00:14,false
ord_0002,cust_2535,2337433,2026-08-01T14:33:01,false
ord_0003,cust_9928,1025850,2026-08-01T08:40:12,false
ord_0004,cust_1106,974594,2026-08-01T13:29:55,false
ord_0005,cust_6514,1822573,2026-08-01T12:54:13,false
ord_0006,cust_7201,1159480,2026-08-03T16:22:07,false
ord_0007,cust_2139,2365426,2026-08-03T14:29:12,false
ord_0008,cust_2654,1005874,2026-08-03T10:04:14,false
ord_0009,cust_6820,1215905,2026-08-03T13:42:23,false
ord_0010,cust_3803,1169786,2026-08-03T09:28:40,false
ord_0011,cust_4598,1076811,2026-08-03T14:55:17,false
ord_0012,cust_6168,1410140,2026-08-03T11:59:02,false
ord_0013,cust_8517,941820,2026-08-05T16:05:56,false
ord_0014,cust_9830,1160987,2026-08-05T12:12:35,false
ord_0015,cust_3266,1846981,2026-08-05T14:16:14,false
ord_0016,cust_3504,2119955,2026-08-05T08:33:07,false
ord_0017,cust_7304,721013,2026-08-05T14:48:04,false
ord_0018,cust_1188,2013143,2026-08-05T12:06:55,false
ord_0019,cust_6573,530464,2026-08-05T17:32:17,true
ord_0020,cust_5315,1281028,2026-08-05T10:23:00,false
ord_0021,cust_3646,2179292,2026-08-07T10:58:23,false
ord_0022,cust_2832,2274464,2026-08-07T13:43:01,false
ord_0023,cust_2290,1339807,2026-08-07T09:03:56,false
ord_0024,cust_3103,2088391,2026-08-07T16:23:08,false
ord_0025,cust_7932,2043478,2026-08-07T10:47:33,false
ord_0026,cust_7537,2311971,2026-08-07T11:18:19,false
ord_0027,cust_5061,1616239,2026-08-07T16:58:07,true
ord_0028,cust_4770,318544,2026-08-07T08:20:35,false
ord_0029,cust_2160,1010251,2026-08-09T08:48:21,false
ord_0030,cust_3167,1048263,2026-08-09T14:58:34,false
ord_0031,cust_7669,2466806,2026-08-09T12:24:30,false
ord_0032,cust_7735,445631,2026-08-09T14:21:27,false
ord_0033,cust_2790,462794,2026-08-09T15:13:21,false
ord_0034,cust_7912,853587,2026-08-09T17:03:08,false
ord_0035,cust_1241,2358231,2026-08-11T09:28:34,false
ord_0036,cust_4502,1041447,2026-08-11T14:38:30,false
ord_0037,cust_5345,295934,2026-08-11T14:00:24,false
ord_0038,cust_8973,1246421,2026-08-11T17:21:45,false
ord_0039,cust_9883,846489,2026-08-11T11:54:37,false
ord_0040,cust_9238,1365353,2026-08-11T08:28:30,false
ord_0041,cust_4044,710320,2026-08-11T16:55:54,false
ord_0042,cust_7868,2439391,2026-08-13T08:13:05,false
ord_0043,cust_5272,2498099,2026-08-13T16:52:59,false
ord_0044,cust_5915,1367782,2026-08-13T12:25:08,false
ord_0045,cust_2638,1376143,2026-08-13T09:18:39,false
ord_0046,cust_5956,1245323,2026-08-15T15:33:34,false
ord_0047,cust_2697,2268538,2026-08-15T17:00:59,false
ord_0048,cust_3546,1159250,2026-08-15T10:11:35,false
ord_0049,cust_4335,1231771,2026-08-15T11:16:21,false
ord_0050,cust_1832,1157228,2026-08-15T16:03:57,false
ord_0051,cust_3143,1826605,2026-08-15T07:37:21,false
ord_0052,cust_3426,675178,2026-08-17T08:56:23,false
ord_0053,cust_1653,584545,2026-08-17T12:36:57,false
ord_0054,cust_6794,931124,2026-08-17T11:29:06,false
ord_0055,cust_4878,1754470,2026-08-17T11:37:59,false
ord_0056,cust_2771,1443286,2026-08-19T11:27:10,false
ord_0057,cust_8541,212422,2026-08-19T11:26:52,false
ord_0058,cust_4164,1330063,2026-08-19T11:08:42,false
ord_0059,cust_6753,1426830,2026-08-19T09:25:17,false
ord_0060,cust_2889,2186602,2026-08-19T16:46:01,false
ord_0061,cust_8119,798967,2026-08-19T12:16:06,false
ord_0062,cust_9821,1118383,2026-08-21T13:31:33,false
ord_0063,cust_6409,876425,2026-08-21T13:43:42,false
ord_0064,cust_5920,1366657,2026-08-21T09:40:57,false
ord_0065,cust_5844,1347233,2026-08-21T14:08:25,false
ord_0066,cust_3851,583883,2026-08-21T14:22:24,false
ord_0067,cust_6279,1324543,2026-08-23T11:26:50,false
ord_0068,cust_3780,1902984,2026-08-23T11:06:30,false
ord_0069,cust_6491,405658,2026-08-23T17:29:40,false
ord_0070,cust_4262,1035110,2026-08-23T12:54:51,false
ord_0071,cust_1090,2123568,2026-08-25T11:54:41,false
ord_0072,cust_9486,1833192,2026-08-25T10:50:44,false
ord_0073,cust_2988,260631,2026-08-25T11:58:54,false
ord_0074,cust_6198,609264,2026-08-25T16:37:38,false
ord_0075,cust_3607,2167193,2026-08-25T16:26:57,false
ord_0076,cust_5543,1937729,2026-08-25T11:45:40,false
ord_0077,cust_2269,2082547,2026-08-25T11:39:28,false
ord_0078,cust_2052,1019980,2026-08-27T10:50:13,false
ord_0079,cust_2020,1759595,2026-08-27T17:01:26,false
ord_0080,cust_7232,1812209,2026-08-27T08:51:56,false
ord_0081,cust_7865,74729,2026-08-27T12:38:24,false
ord_0082,cust_5471,2340644,2026-08-27T11:34:14,false
ord_0083,cust_7624,171738,2026-08-29T14:19:43,false
ord_0084,cust_7455,2010376,2026-08-29T15:44:58,false
ord_0085,cust_8022,2417231,2026-08-29T08:46:41,false
ord_0086,cust_6363,1986503,2026-08-29T08:47:24,false
ord_0087,cust_7211,1957147,2026-08-29T14:11:56,false
ord_0088,cust_9837,1818171,2026-08-29T10:22:01,false
ord_0089,cust_1659,1517840,2026-08-29T10:44:41,false
ord_0090,cust_7043,2415459,2026-08-31T16:21:16,false
ord_0091,cust_1420,530385,2026-08-31T12:25:37,false
ord_0092,cust_4249,2465066,2026-08-31T15:14:45,false
ord_0093,cust_2983,1068584,2026-08-31T12:40:43,false
ord_0094,cust_7071,222256,2026-08-31T17:17:42,false
ord_0095,cust_1207,2415459,2026-09-02T16:46:21,false
ord_0096,cust_6934,530385,2026-09-02T14:43:27,false
ord_0097,cust_8135,2465066,2026-09-02T16:21:09,false
ord_0098,cust_9817,1068584,2026-09-02T16:38:17,false
ord_0099,cust_5397,222256,2026-09-02T15:44:52,false
ord_0100,cust_3979,1460949,2026-09-04T15:50:20,false
ord_0101,cust_5526,939695,2026-09-04T12:08:17,false
